invoice_no;products
LS35089;"1x Vino Tinto BK! Bon Karma! Sostenible D.O Montsant.; 
1x Biryani de Cordero.: 1x Sin Bebida, 1x Biryani de Cordero; 
1x Degustación Tandoor de Pollo (para 1 persona).: 1x Sin Pan/Arroz, 1x Degustación Tandoor de Pollo (para 1 persona); 
"
LS35004;"1x PACK PARA 2: 1x Naan., 2x Pollo Tikka Masala*, 2x Sprite, lata 0,33l, 1x Pakoras*, 2x Naan de Ajo.; 
"
LS34997;"1x Dal Makhani (Vegetariano).: 1x Dal Makhani (Vegetariano), 1x Naan.; 
1x Pollo Madrás.: 1x Pollo Madras , 1x Butter Naan.; 
1x Palak Paneer (Vegetariano).: 1x Arroz al Limón Vegano., 1x Palak Paneer (Vegetariano); 
"
LS34925;"1x Menú.: 1x Pollo Korma, 1x Pakora (vegano), 1x Sin Postre , 1x Arroz Basmati Vegano., 1x Coca-Cola Zero, lata 0.33l.; 
1x Naan.; 
"
LS34923;"1x Dal Amarillo (Vegano).: 1x Dal Amarillo (Vegano), 1x Sin Pan/Arroz; 
1x Menú Tandoor.: 1x Pollo Tikka, 1x Sin Postre , 1x Naan de Queso., 1x Samosa 1 unidad (vegano), 1x Coca-Cola Zero, lata 0.33l.; 
"
LS34875;"1x Menú.: 1x Sin Postre , 1x Naan., 1x Pakora (vegano), 1x Curry de Pollo, 1x Coca-Cola Zero, lata 0.33l.; 
1x Menú.: 1x Coca-Cola Zero, lata 0.33l., 1x Pollo Tikka Masala, 1x Sin Postre , 1x Naan., 1x Pappad (vegano); 
"
LS34863;"1x Degustación Tandoor de Pollo (para 1 persona).: 1x Sin Pan/Arroz, 1x Degustación Tandoor de Pollo (para 1 persona); 
1x Menú Tandoor.: 1x Pakora (vegano), 1x Champiñones Tikka (vegetariano), 1x Sin Acompañamiento, 1x Sin Postre , 1x Cerveza Mori"
LS34839;"1x Butter Naan.; 
1x Samosa 1 Unidad.: 1x Sin Salsa Extra, 1x Samosa 1 unidad (vegano); 
1x Pollo Tikka Masala. : 1x Arroz al Zeera Vegano., 1x Pollo Tikka Masala; 
"
LS34822;"1x Menú Tandoor.: 1x Pollo Tandoori, 1x Naan de Queso., 1x Pakora (vegano), 1x Coca-Cola Zero, lata 0.33l., 1x Sin Postre ; 
1x Biryani de Cordero.: 1x Biryani de Cordero, 1x Sin Bebida; 
1x Lassi de Mango.; 
1x Pollo Makhani ""Butter Chicken"".: 1x "
LS34821;"1x PACK PARA 2: 1x Naan., 1x Palak Paneer Vegetariano*, 1x Alitas de Pollo*, 1x Pollo Tikka Masala*, 2x Cerveza Moritz, lata 0,33l., 2x Arroz Basmati Vegano.; 
"
